barcode,itemNumber,title,cout,cin,deweyClass,bibNumber,collcode,callNumber
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2011-08-25 17:52:00","2011-10-08 17:26:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2011-11-10 10:33:00","2011-12-22 19:17:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2012-05-01 14:00:00","2012-05-01 14:23:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2012-06-29 14:49:00","2012-07-09 16:17:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2012-07-26 11:37:00","2012-09-06 14:59:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2013-03-10 14:56:00","2013-04-18 15:45:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2014-11-04 14:13:00","2014-11-12 13:22:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2014-12-05 10:31:00","2015-01-22 14:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2015-02-18 12:49:00","2015-02-23 12:05:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2015-07-15 15:46:00","2015-07-29 14:35:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2015-11-06 12:50:00","2015-12-18 15:12:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2016-01-04 14:00:00","2016-02-29 13:13:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2016-06-22 16:12:00","2016-08-02 19:14:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2016-09-17 15:56:00","2016-10-07 17:10:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2016-12-03 14:11:00","2016-12-23 12:51:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2017-02-21 14:05:00","2017-03-13 15:59:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2017-03-21 16:03:00","2017-04-02 16:11:00",746,707238,canf,"746 An245F"
0000100806256,420712,"Far beyond the fringe three dimensional knotting techniques using macrame nautical ropework","2017-06-14 13:41:00","2017-07-05 14:39:00",746,707238,canf,"746 An245F"
