distinct_bib,subject,out_bib,title,itemtype,deweyClass
566401,"United States Armed Forces Gays",566401,"My country my right to serve experiences of gay men and women in the military World War II to the present",acbk,355.00866
566600,"Homosexuality Male China History",566600,"Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662
566600,"Lesbianism China History",566600,"Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662
566600,"Male homosexuality China History",566600,"Passions of the cut sleeve the male homosexual tradition in China",acbk,306.7662
566669,"Gay men United States",566669,"Michael a gay son",acvhs,306.76
566669,"Gay men United States Family relationships",566669,"Michael a gay son",acvhs,306.76
566669,"Gay men United States Psychology",566669,"Michael a gay son",acvhs,306.76
566851,"Lesbians United States Interviews",566851,"Out in suburbia",acvhs,306.76
567499,"Lesbians in literature",567499,"safe sea of women lesbian fiction 1969 1989",acbk,813.54
567499,"Lesbians writings American History and criticism",567499,"safe sea of women lesbian fiction 1969 1989",acbk,813.54
567499,"Lesbians writings History and criticism",567499,"safe sea of women lesbian fiction 1969 1989",acbk,813.54
568647,"Lesbians England London Fiction",568647,"GaudÃ‚Â¡ afternoon",acbk,
569253,Gays,569253,"Silent pioneers",acvhs,306.76
569253,Lesbians,569253,"Silent pioneers",acvhs,306.76
572449,"Gay athletes",572449,"arena of masculinity sports homosexuality and the meaning of sex",acbk,306.483
572796,"Gay liberation movement United States History 20th century",572796,"trouble with Harry Hay founder of the modern gay movement",acbk,
572796,"Gays United States Biography",572796,"trouble with Harry Hay founder of the modern gay movement",acbk,
573072,"Gay men Drama",573072,"Hard plays stiff parts the homoerotic plays of Robert Chesley with illustrations by Art Jagonosi and an introduction by Bert Herrman",acbk,812.54
573353,"Gays Family relationships United States Case studies",573353,"Coming out an act of love",acbk,305.38966
573353,"Gays United States Correspondence",573353,"Coming out an act of love",acbk,305.38966
573353,"Gays United States Family relationships Case studies",573353,"Coming out an act of love",acbk,305.38966
577561,"Lesbian couples United States Case studies",577561,"Staying power long term lesbian couples",acbk,306.7663
579068,"Gay teenagers South States",579068,"Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664
579068,"Homosexuality Religious aspects Christianity",579068,"Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664
579068,"Homosexuality Southern States Case studies",579068,"Growing up gay in the South race gender and journeys of the spirit",acbk,305.90664
584573,"Lesbian couples United States",584573,"Ceremonies of the heart celebrating lesbian unions",acbk,306.738
584573,"Lesbianism History",584573,"Ceremonies of the heart celebrating lesbian unions",acbk,306.738
585496,"Gay men United States Diaries",585496,"Continual lessons the journals of Glenway Wescott 1937 1955",acbk,
587585,"Lesbians United States",587585,"Combahee River Collective statement Black feminist organizing in the seventies and eighties",acbk,305.42097
588043,"Gay teenagers United States Miscellanea Juvenile literature",588043,"Understanding sexual identity a book for gay teens and their friends",acbk,306.766
588043,"Gays United States Miscellanea Juvenile literature",588043,"Understanding sexual identity a book for gay teens and their friends",acbk,306.766
588043,Homosexuality,588043,"Understanding sexual identity a book for gay teens and their friends",acbk,306.766
589301,"Bisexuality United States",589301,"Bi any other name bisexual people speak out",acbk,306.76509
590780,"Lesbian couples Juvenile fiction",590780,"Heather has two mommies",jcbk,
590780,"Lesbian mothers Juvenile fiction",590780,"Heather has two mommies",jcbk,
590780,"Lesbians Fiction",590780,"Heather has two mommies",jcbk,
