distinct_bib,title,deweyClass,itemtype,bibNumber,subject
1860339,"Dangerous liaisons Blacks gays and the struggle for equality",305.89607,acbk,1860339,"United States Race relations"
1861592,"Queer Japan personal stories of Japanese lesbians gays transsexuals and bisexuals",306.76609,acbk,1861592,"Bisexuals Japan"
1861592,"Queer Japan personal stories of Japanese lesbians gays transsexuals and bisexuals",306.76609,acbk,1861592,"Gay men Japan"
1861592,"Queer Japan personal stories of Japanese lesbians gays transsexuals and bisexuals",306.76609,acbk,1861592,"Lesbians Japan"
1861592,"Queer Japan personal stories of Japanese lesbians gays transsexuals and bisexuals",306.76609,acbk,1861592,"Transsexuals Japan"
1861849,"book of gay lesbian quotations",808.882,acbk,1861849,"Gays Quotations"
1861849,"book of gay lesbian quotations",808.882,acbk,1861849,"Lesbians Quotations"
1861849,"book of gay lesbian quotations",808.882,acbk,1861849,"Quotations English"
1862924,"Gay marriage",306.848,acbk,1862924,"Gay couples Legal status laws etc United States"
1862924,"Gay marriage",306.848,acbk,1862924,"Gay couples United States"
1862924,"Gay marriage",306.848,acbk,1862924,"Gay marriage United States"
1862924,"Gay marriage",306.848,acbk,1862924,"Marriage law United States"
1862924,"Gay marriage",306.848,acbk,1862924,"Same sex marriage Moral and ethical aspects United States"
1863361,"Are you ready the gay mans guide to thriving at midlife",305.24408,acbk,1863361,"Middle aged gays United States"
1865400,"Beneath the equator cultures of desire male homosexuality and emerging gay communities in Brazil",305.90664,acbk,1865400,"Gays Brazil"
1867064,"Homosexuality opposing viewpoints",305.90664,acbk,1867064,"Gays United States"
1867064,"Homosexuality opposing viewpoints",305.90664,acbk,1867064,"Homosexuality United States"
1867546,"From this day forward commitment marriage and family in lesbian and gay relationships",306.84809,acbk,1867546,"Same sex marriage United States"
1867834,"Whos a pretty boy then one hundred fifty years of gay life in pictures",306.7662,acbk,1867834,"Gardiner James Photograph collections"
1867834,"Whos a pretty boy then one hundred fifty years of gay life in pictures",306.7662,acbk,1867834,"Gay men England Pictorial works"
1867834,"Whos a pretty boy then one hundred fifty years of gay life in pictures",306.7662,acbk,1867834,"Photograph collections England London"
1867834,"Whos a pretty boy then one hundred fifty years of gay life in pictures",306.7662,acbk,1867834,"Photography England History"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"American literature Study and teaching"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Canon Literature"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"English literature Study and teaching"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Gay and lesbian studies"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Gay men in literature"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Gays writings American Study and teaching"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Gays writings English Study and teaching"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Gays writings History and criticism Theory etc"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Homosexuality and literature"
1868638,"Professions of desire lesbian and gay studies in literature",810.99206,acbk,1868638,"Lesbians in literature"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Bisexual parents Interviews"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Bisexual parents Portraits"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Children of gay parents Interviews"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Children of gay parents Portraits"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Gay fathers Interviews"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Gay fathers Portraits"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Lesbian mothers Interviews"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Lesbian mothers Portraits"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Transsexual parents Interviews"
1868648,"Love makes a family portraits of lesbian gay bisexual and transgender parents and their families",306.874,acbk,1868648,"Transsexual parents Portraits"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Asian American gays Literary collections"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Asians Canada Literary collections"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Asians in art"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Asians Interviews"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Gay men Canada Literary collections"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Gay men in art"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Gay men Interviews"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Gay mens writings American"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Gay mens writings Canadian"
1868967,"Rice explorations into gay Asian culture politics",810.8092,acbk,1868967,"Race relations Literary collections"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"AIDS Disease Japan"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Gay men Japan Sexual behavior"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Gay men Sexual behavior Japan"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Homosexuality Japan"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Homosexuality Japan Public opinion"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Public opinion Japan"
1871596,"Great mirrors shattered homosexuality orientalism and Japan",306.76609,acbk,1871596,"Washington Authors Collection"
1871791,"Dont a readers guide to the militarys anti gay policy",355.00866,acbk,1871791,"Gays in the military United States"
1871791,"Dont a readers guide to the militarys anti gay policy",355.00866,acbk,1871791,"Gays Legal status laws etc United States"
1871791,"Dont a readers guide to the militarys anti gay policy",355.00866,acbk,1871791,"Sex discrimination United States"
1871791,"Dont a readers guide to the militarys anti gay policy",355.00866,acbk,1871791,"United States Armed Forces Gays Government policy"
1871791,"Dont a readers guide to the militarys anti gay policy",355.00866,acbk,1871791,"United States Military policy"
1871803,"Untold millions secret truths about marketing to gay and lesbian consumers",658.83408,acbk,1871803,"Gay consumers United States"
1871803,"Untold millions secret truths about marketing to gay and lesbian consumers",658.83408,acbk,1871803,"Lesbian consumers United States"
1871803,"Untold millions secret truths about marketing to gay and lesbian consumers",658.83408,acbk,1871803,"Marketing United States"
1871940,"Trailblazers profiles of Americas gay and lesbian elected officials",306.76609,acbk,1871940,"Gay politicians United States Biography"
1871940,"Trailblazers profiles of Americas gay and lesbian elected officials",306.76609,acbk,1871940,"Legislators United States Biography"
1871941,"Navigating differences friendships between gay and straight men",302.34081,acbk,1871941,"Gay men Psychology"
1871941,"Navigating differences friendships between gay and straight men",302.34081,acbk,1871941,"Male friendship"
1871941,"Navigating differences friendships between gay and straight men",302.34081,acbk,1871941,"Men Psychology"
1872061,"Widescreen dreams growing up gay at the movies",305.38966,acbk,1872061,"Gay men United States Biography"
1872061,"Widescreen dreams growing up gay at the movies",305.38966,acbk,1872061,"Gay men United States Psychology Case studies"
1872061,"Widescreen dreams growing up gay at the movies",305.38966,acbk,1872061,"Horrigan Patrick E"
1872061,"Widescreen dreams growing up gay at the movies",305.38966,acbk,1872061,"Motion pictures United States Psychological aspects Case studies"
1873902,"Treating lesbians and bisexual women challenges and strategies for health professionals",362.10866,acbk,1873902,"Bisexual women Health and hygiene"
1873902,"Treating lesbians and bisexual women challenges and strategies for health professionals",362.10866,acbk,1873902,"Bisexual women Medical care"
1873902,"Treating lesbians and bisexual women challenges and strategies for health professionals",362.10866,acbk,1873902,"Lesbians Health and hygiene"
1873902,"Treating lesbians and bisexual women challenges and strategies for health professionals",362.10866,acbk,1873902,"Lesbians Medical care"
1873902,"Treating lesbians and bisexual women challenges and strategies for health professionals",362.10866,acbk,1873902,"Medical personnel"
1875758,"How to survive your own gay life an adult guide to love sex and relationships",306.7662,acbk,1875758,"Gay men Conduct of life"
1875758,"How to survive your own gay life an adult guide to love sex and relationships",306.7662,acbk,1875758,"Homosexuality Male Social aspects"
